                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.4871,                 1.8608,                 2.0333,                0.57641,                0.45957,                 0.4766,                0.28071,                 1.4984,                 1.8846,                 2.1153,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4862,                 1.8656,                 2.0376,                0.54557,                0.46653,                0.46685,                0.27291,                 1.5078,                 1.8511,                 2.1188,                0.00101,                0.00101,                0.00101
                     52,                 1.4907,                 1.8668,                 2.0092,                0.55029,                0.44016,                0.46193,                0.27238,                 1.4764,                 1.8684,                 2.1035,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4418,                  1.842,                 2.0061,                0.55723,                0.46247,                0.46225,                0.28124,                  1.439,                 1.8306,                 2.0687,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4487,                  1.806,                 2.0173,                 0.5196,                0.47168,                0.48202,                0.28417,                 1.4899,                 1.8272,                 2.1113,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4617,                 1.8155,                 2.0246,                0.56938,                0.46349,                0.49673,                0.30269,                 1.4537,                 1.7892,                 2.0722,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4724,                 1.8662,                 2.0173,                0.54958,                 0.4929,                0.48078,                0.28898,                  1.448,                 1.8068,                 2.0495,               0.000911,               0.000911,               0.000911
                     57,                 1.3959,                  1.806,                 1.9492,                0.58787,                0.46957,                0.49711,                0.28904,                 1.4697,                 1.8353,                 2.0895,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3935,                 1.7684,                 1.9606,                0.55007,                0.49696,                0.48734,                0.29644,                 1.4044,                 1.7737,                 2.0043,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.4516,                 1.8247,                 1.9806,                0.54915,                0.47262,                0.48457,                 0.2935,                 1.4094,                 1.7825,                 2.0526,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4171,                 1.7632,                 1.9598,                  0.587,                0.46415,                0.51567,                 0.3162,                 1.3953,                 1.7526,                  2.012,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3802,                 1.7699,                 1.9394,                0.58165,                0.48073,                0.50533,                0.31068,                 1.4037,                 1.7221,                 2.0153,               0.000812,               0.000812,               0.000812
                     62,                 1.3851,                 1.7336,                 1.9541,                0.54745,                0.49797,                0.51187,                0.31432,                 1.4009,                 1.7148,                 2.0005,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4093,                 1.7464,                 1.9429,                0.60341,                 0.4787,                0.51911,                0.31475,                 1.3872,                 1.7042,                 1.9868,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3541,                 1.7186,                 1.9228,                0.63431,                0.47262,                0.52778,                0.33312,                 1.3737,                 1.6745,                 1.9899,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.3859,                 1.7611,                 1.9428,                0.57784,                0.51217,                 0.5415,                0.34249,                 1.3519,                 1.6487,                 1.9794,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3635,                  1.711,                 1.9128,                0.55467,                0.51724,                0.53344,                0.34064,                 1.3391,                 1.6338,                 1.9559,               0.000713,               0.000713,               0.000713
                     67,                 1.3652,                 1.7476,                 1.9038,                0.57129,                0.52028,                0.54194,                0.34883,                 1.3017,                 1.6136,                 1.9131,              0.0006932,              0.0006932,              0.0006932
